Company,Industry,Short Description (< 5 words),Title,Tag,Year,Link
Stripe,Fintech and banking,Prevent fraudelent transactions,How we built it: Stripe Radar,fraud detection,2023,https://stripe.com/blog/how-we-built-it-stripe-radar
Walmart,E-commerce and retail,Recommend complementary items,Personalized ‘Complete the Look’ model,"recommender system,product feature,CV",2023,https://medium.com/walmartglobaltech/personalized-complete-the-look-model-ea093aba0b73
Uber,Delivery and mobility,Forecast demand for airport rides,Demand and ETR Forecasting at Airports,demand forecasting,2023,https://www.uber.com/en-GB/blog/demand-and-etr-forecasting-at-airports/
Pinterest,Social platforms,Prevent advertiser churn,An ML based approach to proactive advertiser churn prevention,churn prediction,2023,https://medium.com/pinterest-engineering/an-ml-based-approach-to-proactive-advertiser-churn-prevention-3a7c0c335016
Stitch Fix,E-commerce and retail,Generate ad headlines,A New Era of Creativity: Expert-in-the-loop Generative AI at Stitch Fix,"product feature,NLP,generative AI",2023,https://multithreaded.stitchfix.com/blog/2023/03/06/expert-in-the-loop-generative-ai-at-stitch-fix/
Swiggy,Delivery and mobility,Recommend items to order,Building a mind reader at Swiggy using Data Science,"product feature,recommender system",2023,https://bytes.swiggy.com/building-a-mind-reader-at-swiggy-using-data-science-5a5c38aa6c17
Microsoft,Tech,Diagnose production incidents with LLM,Large-language models for automatic cloud incident management,"ops,generative AI,product feature",2023,https://www.microsoft.com/en-us/research/blog/large-language-models-for-automatic-cloud-incident-management/
Foodpanda,Delivery and mobility,Optimize menu sorting order,Menu Ranking,content personalization,2023,https://medium.com/foodpanda-data/menu-ranking-422ad21f381e
Zillow,E-commerce and retail,Estimate the house market value,Building the Neural Zestimate,pricing,2023,https://www.zillow.com/tech/building-the-neural-zestimate/
Airbnb,"Travel,E-commerce and retail",Identify user interests,Prioritizing Home Attributes Based on Guest Interest,"NLP,item classification,search",2023,https://medium.com/airbnb-engineering/prioritizing-home-attributes-based-on-guest-interest-3c49b827e51a
GitHub,Tech,Generate code and code suggestions,Inside GitHub: Working with the LLMs behind GitHub Copilot,"product feature,generative AI",2023,https://github.blog/2023-05-17-inside-github-working-with-the-llms-behind-github-copilot/
DoorDash,Delivery and mobility,Optimize courier waiting time,Lifecycle of a Successful ML Product: Reducing Dasher Wait Times,"product feature,ETA prediction",2023,https://doordash.engineering/2023/02/15/lifecycle-of-a-successful-ml-product-reducing-dasher-wait-times/
Linkedin,Social platforms,Select best payment gateway,Improving the customer’s experience via ML-driven payment routing,ops,2023,https://engineering.linkedin.com/blog/2023/improving-the-customer-s-experience-via-ml-driven-payment-routin
Wayfair,E-commerce and retail,Predict delivery times,Delivery-Date Prediction,ETA prediction,2023,https://www.aboutwayfair.com/careers/tech-blog/delivery-date-prediction
Linkedin,Social platforms,Detect viral spam,Viral spam content detection at LinkedIn,spam / content moderation,2023,https://engineering.linkedin.com/blog/2023/viral-spam-content-detection-at-linkedin
Lyft,Delivery and mobility,Recommend content in app,The Recommendation System at Lyft,recommender system,2023,https://eng.lyft.com/the-recommendation-system-at-lyft-67bc9dcc1793
Honeycomb,Tech,Generate queries with natural language,All the Hard Stuff Nobody Talks About when Building Products with LLMs,"NLP,product feature,generative AI",2023,https://www.honeycomb.io/blog/hard-stuff-nobody-talks-about-llm
Zalando,E-commerce and retail,Forecast demand in fashion e-commerce,Deep Learning based Forecasting: a case study from the online fashion industry,demand forecasting,2023,https://arxiv.org/abs/2305.14406
Etsy,E-commerce and retail,Recommend relevant marketplace items,How We Built a Multi-Task Canonical Ranker for Recommendations at Etsy,recommender system,2023,https://www.etsy.com/uk/codeascraft/how-we-built-a-multi-task-canonical-ranker-for-recommendations-at-etsy
Yelp,Social platforms,Organize e-commerce content using embeddings,Yelp Content As Embeddings,"NLP,CV,item classification",2023,https://engineeringblog.yelp.com/2023/04/yelp-content-as-embeddings.html
Monzo,Fintech and banking,Select relevant marketing messages ,Optimising marketing messages for Monzo users,"causality,content personalization",2023,https://medium.com/data-monzo/optimising-marketing-messages-for-monzo-users-3fe805f24572
Monzo,Fintech and banking,Detect patterns in text data,Using topic modelling to understand customer saving goals,"NLP,item classification",2023,https://medium.com/data-monzo/using-topic-modelling-to-understand-customer-saving-goals-2bb06f00ce2d
Wayfair,E-commerce and retail,Predict new product’s sales potential,How Wayfair uses “Predicted Winners” Models to Accelerate Success for New Products,demand forecasting,2023,https://www.aboutwayfair.com/careers/tech-blog/how-wayfair-uses-predicted-winners-models-to-accelerate-success-for-new-products
Airbnb,"Travel,E-commerce and retail",Personalized listing search,Learning To Rank Diversely,search,2023,https://medium.com/airbnb-engineering/learning-to-rank-diversely-add6b1929621
Twitter,Social platforms,Recommend interesting tweets,Twitter's Recommendation Algorithm,recommender system,2023,https://blog.twitter.com/engineering/en_us/topics/open-source/2023/twitter-recommendation-algorithm 
DoorDash,Delivery and mobility,Predict if a store is open,How DoorDash Upgraded a Heuristic with ML to Save Thousands of Canceled Orders,"product feature,ETA prediction",2023,https://doordash.engineering/2023/01/10/how-doordash-upgraded-a-heuristic-with-ml-to-save-thousands-of-canceled-orders/
Wayfair,E-commerce and retail,Identify business customers,Hamlet: Wayfair's ML Approach to Identifying Business Shopper,lead scoring,2023,https://www.aboutwayfair.com/careers/tech-blog/hamlet
Wayfair,E-commerce and retail,Detect fraud with embeddings,Introducing Melange: A Customer Journey Embedding System for Improving Fraud and Policy Abuse Detection,fraud detection,2023,https://www.aboutwayfair.com/careers/tech-blog/introducing-melange-a-customer-journey-embedding-system-for-improving-fraud-and-scam-detection
Airbnb,"Travel,E-commerce and retail",Improve travel search experience ,Building Airbnb Categories with ML & Human in the Loop,search,2023,https://medium.com/airbnb-engineering/building-airbnb-categories-with-ml-human-in-the-loop-35b78a837725
Ebay,E-commerce and retail,Recommend relevant e-commerce items,Building a Deep Learning Based Retrieval System for Personalized Recommendations,recommender system,2022,https://tech.ebayinc.com/engineering/building-a-deep-learning-based-retrieval-system-for-personalized-recommendations/
Mercado Libre,Delivery and mobility,Predict product dimensions for delivery,Predicting package dimensions based on a similarity model at Mercado Libre,"ops,product feature",2022,https://medium.com/mercadolibre-tech/predicting-package-dimensions-based-on-a-similarity-model-at-mercado-libre-d64a9dd4351d
Doordash,Delivery and mobility,Recommend substitute items,Evolving DoorDash’s Substitution Recommendations Algorithm,"product feature,recommender system",2022,https://doordash.engineering/2022/09/08/evolving-doordashs-substitution-recommendations-algorithm/
Pinterest,Social platforms,Personalize homepage contents,How Pinterest Leverages Realtime User Actions in Recommendation to Boost Homefeed Engagement Volume,recommender system,2022,https://medium.com/pinterest-engineering/how-pinterest-leverages-realtime-user-actions-in-recommendation-to-boost-homefeed-engagement-volume-165ae2e8cde8 
Instacart,Delivery and mobility,Search food and grocery items,How Instacart Uses Embeddings to Improve Search Relevance,search,2022,https://tech.instacart.com/how-instacart-uses-embeddings-to-improve-search-relevance-e569839c3c36
Walmart,E-commerce and retail,Assist in e-commerce shopping ,A Unified Multi-task Model for Supporting Multiple Virtual Assistants in Walmart,"chatbot,NLP,voice interface",2022,https://medium.com/walmartglobaltech/a-unified-multi-task-model-for-supporting-multiple-virtual-assistants-in-walmart-2b077c2c96e
Spotify,Media and streaming,Search for podcasts,Introducing Natural Language Search for Podcast Episodes,"search,NLP",2022,https://engineering.atspotify.com/2022/03/introducing-natural-language-search-for-podcast-episodes/
Nextdoor,Social platforms,Predict harmful comments ,Using predictive technology to foster constructive conversations,"NLP,spam / content moderation",2022,https://engblog.nextdoor.com/using-predictive-technology-to-foster-constructive-conversations-4af437942bd4
Walmart,E-commerce and retail,Fill shopping cart via voice dialog,Voice Reorder Experience: add Multiple Product Items to your shopping cart,voice interface,2022,https://medium.com/walmartglobaltech/voice-reorder-experience-add-multiple-product-items-to-your-shopping-cart-59d20fc61797
Expedia,"Travel,E-commerce and retail",Categorize customer feedback,Categorising Customer Feedback Using Unsupervised Learning,"NLP,item classification",2022,https://medium.com/expedia-group-tech/categorising-customer-feedback-using-unsupervised-learning-8608c1e62d48
Foodpanda,Delivery and mobility,Classify restaurants and cuisines,Classifying restaurant cuisines with subjective labels,item classification,2022,https://medium.com/foodpanda-data/classifying-restaurant-cuisines-with-subjective-labels-fa10012d18a9 
Ebay,Social platforms,Recommend products and content,Multi-Relevance Ranking Model for Similar Item Recommendation,recommender system,2022,https://tech.ebayinc.com/engineering/multi-relevance-ranking-model-for-similar-item-recommendation/
Gousto,Delivery and mobility,Predict subscription churn,Using Data Science to Retain Customers,churn prediction,2022,https://medium.com/gousto-engineering-techbrunch/using-data-science-to-retain-customers-63f19a03a0b6
Google,Tech,Generate summaries,Auto-generated Summaries in Google Docs,"product feature,NLP,generative AI",2022,https://ai.googleblog.com/2022/03/auto-generated-summaries-in-google-docs.html
Yelp,Social platforms,Personalize recommendations,Beyond Matrix Factorization: Using hybrid features for user-business recommendations,recommender system,2022,https://engineeringblog.yelp.com/2022/04/beyond-matrix-factorization-using-hybrid-features-for-user-business-recommendations.html
PayPal,Fintech and banking,Prioritize sales leads,Sales Pipeline Management with Machine Learning: A Lightweight Two-Layer Ensemble Classifier Framework,"propensity to buy,lead scoring",2022,https://medium.com/paypal-tech/sales-pipeline-management-with-machine-learning-15398bab913b
Grubhub,Delivery and mobility,Forecast order volume,Forecasting Grubhub Order Volume At Scale,demand forecasting,2022,https://bytes.grubhub.com/forecasting-grubhub-order-volume-at-scale-a966c2f901d2
Github,Tech,Detect vulnerabilities in code,Leveraging machine learning to find security vulnerabilities,"product feature,ops",2022,https://github.blog/2022-02-17-leveraging-machine-learning-find-security-vulnerabilities/
Uber,Delivery and mobility,Detect payment fraud,Project RADAR: Intelligent Early Fraud Detection System with Humans in the Loop,fraud detection,2022,https://www.uber.com/en-GB/blog/project-radar-intelligent-early-fraud-detection/
Gojek,Delivery and mobility,Predict food delivery times,How We Estimate Food Debarkation Time With 'Tensoba',ETA prediction,2022,https://www.gojek.io/blog/food-debarkation-tensoba
Uber,Delivery and mobility,Predict estimated time of arrival,DeepETA: How Uber Predicts Arrival Times Using Deep Learning,ETA prediction,2022,https://www.uber.com/en-GB/blog/deepeta-how-uber-predicts-arrival-times/
Trivago,"Travel,E-commerce and retail",Optimize accommodation ranking,Explore-exploit dilemma in Ranking model,search,2022,https://tech.trivago.com/post/2022-11-04-explore-exploit-dilemma-in-ranking-model
Gousto,Delivery and mobility,Recommend food items and recipes,Gousto R-series Vol 2: Tackling the Cold-Start Problem in Recipe Recommendation Engine,recommender system,2022,https://medium.com/gousto-engineering-techbrunch/gousto-r-series-vol-2-tackling-the-cold-start-problem-in-recipe-recommendation-engine-af92a434805f
Spotify,Media and streaming,Forecast user activity metrics,How We Built Infrastructure to Run User Forecasts at Spotify,ops,2022,https://engineering.atspotify.com/2022/06/how-we-built-infrastructure-to-run-user-forecasts-at-spotify/ 
Google,Tech,Summarize conversations,"
Conversation Summaries in Google Chat","product feature,NLP,generative AI",2022,https://ai.googleblog.com/2022/11/conversation-summaries-in-google-chat.html
Airbnb,"Travel,E-commerce and retail",Improve travel search experience ,Building Airbnb Categories with ML and Human-in-the-Loop,"search,product feature",2022,https://medium.com/airbnb-engineering/building-airbnb-categories-with-ml-and-human-in-the-loop-e97988e70ebb
Uber,Delivery and mobility,Send timely push notifications,How Uber Optimizes the Timing of Push Notifications using ML and Linear Programming,content personalization,2022,https://www.uber.com/en-US/blog/how-uber-optimizes-push-notifications-using-ml/
Meta,Social platforms,Personalize daily digest notifications,Improving Instagram notification management with machine learning and causal inference,"causality,content personalization",2022,https://engineering.fb.com/2022/10/31/ml-applications/instagram-notification-management-machine-learning/
Instacart,Delivery and mobility,Recommend relevant food items,Personalizing Recommendations for a Learning User,recommender system,2022,https://www.instacart.com/company/how-its-made/personalizing-recommendations-for-a-learning-user/
Expedia,"Travel,E-commerce and retail",Rank relevant travel deals,How to Optimise Rankings with Cascade Bandits,search,2022,https://medium.com/expedia-group-tech/how-to-optimise-rankings-with-cascade-bandits-5d92dfa0f16b
